Year,Age,No,Name,Movie
1986,21,1,Marlee Matlin,Children of a Lesser God
1928,22,1,Laura Gainor (aka Janet Gaynor),Sunrise
2012,22,2,Jennifer Lawrence,Silver Linings Playbook
1941,24,1,Joan Fontaine,Suspicion
1943,24,2,Jennifer Jones,The Song of Bernadette
1953,24,3,Audrey Hepburn,Roman Holiday
1965,24,4,Julie Christie,Darling
1999,25,1,Hillary Swank,Boys Don't Cry
1933,26,1,Katherine Hepburn,Morning Glory
1936,26,2,Luise Rainer,The Great Zeigfield
1939,26,3,Vivien Leigh,Gone With The Wind
1954,26,4,Grace Kelly,The Country Girl
1972,26,5,Liza Minnelli,Cabaret
1988,26,6,Jodie Foster,The Accused
1998,26,7,Gwyneth Paltrow,Shakespeare In Love
2015,26,8,Brie Larson,Room
1935,27,1,Bette Davis,Dangerous
1937,27,2,Luise Rainer,The Good Earth
1957,27,3,Joanne Woodward,Three Faces of Eve
1961,27,4,Sophia Loren,Two Women
1950,28,1,Judy Holliday,Born Yesterday
1960,28,2,Elizabeth Taylor,Butterfield 8
2003,28,3,Charlize Theron,Monster
2016,28,4,Emma Stone,La La Land
1940,29,1,Ginger Rogers,Kitty
1944,29,2,Ingrid Bergman,Gaslight
1991,29,3,Jodie Foster,The Silence of the Lambs
2005,29,4,Reese Witherspoon,Walk The Line
2010,29,5,Natalie Portman,Black Swan
1930,30,1,Norma Shearer,The Divorcee
1938,30,2,Bette Davis,Jezebel
1946,30,3,Olivia de Havilland,To Each His Own
1964,30,4,Julie Andrews,Mary Poppins
1980,30,5,Sissy Spacek,Coal Miner's Daughter
2004,30,6,Hillary Swank,Million Dollar Baby
1934,31,1,Collette Colbert,It Happened One Night
1962,31,2,Anne Bancroft,The Miracle Worker
1977,31,3,Diane Keaton,Annie Hall
1932,32,1,Helen Hayes,Sin of Madelon
1997,32,2,Helen Hunt,As Good As It Gets
1949,33,1,Olivia de Havilland,The Heiress
1979,33,2,Sally Field,Norma Rae
1982,33,3,Meryl Streep,Sophie's Choice
1992,33,4,Emma Thompson,Howards End
2000,33,5,Julia Roberts,Erin Brockovich
2007,33,6,Marion Cotillard,La Vie en Rose
2008,33,7,Kate Winslet,The Reader
1947,34,1,Loretta Young,The Farmer's Daughter
1948,34,2,Jane Wyman,Johnny Belinda
1966,34,3,Elizabeth Taylor,Who's Afraid of Virginia Woolf?
1970,34,4,Glenda Jackson,Women in Love
1971,34,5,Jane Fonda,Klute
1969,35,1,Maggie Smith,The Prime of Miss Jean Brodie
1976,35,2,Faye Dunaway,Network
1993,35,3,Holly Hunter,The Piano
2001,35,4,Halle Berry,Monster's Ball
2002,35,5,Nicole Kidman,The Hours
1929,37,1,Mary Pickford,Coquette
1945,37,2,Joan Crawford,Mildred Pierce
1963,37,3,Patricia Neal,Hud
1973,37,4,Glenda Jackson,A Touch of Class
1951,38,1,Vivien Leigh,A Streetcar Named Desire
1959,38,2,Simone Signoret,Room at the Top
1984,38,3,Sally Field,Places in the Heart
1942,39,1,Greer Garson,Mrs Miniver
1958,39,2,Susan Hayward,I Want To Live!
1996,39,3,Frances McDormand,Fargo
1956,41,1,Ingrid Bergman,Anastasia
1975,41,2,Louise Fletcher,Cuckoo's Nest
1978,41,3,Jane Fonda,Coming Home
1987,41,4,Cher,Moonstruck
1974,42,1,Ellen Burstyn,Alice Doesn't Live Here Anymore
1990,42,2,Kathy Bates,Misery
1968,44,1,K. Hepburn(61)/B. Streisand(26)*,The Lion in Winter/Funny Girl
2013,44,2,Cate Blanchett,Blue Jasmine
1952,45,1,Shirley Booth,"Come Back, Little Sheba"
1994,45,2,Jessica Lang,Blue Sky
2009,45,3,Sandra Bullock,The Blind Side
1955,47,1,Anna Magnani,The Rose Tattoo
1983,49,1,Shirley MacLaine,Terms of Endearment
1995,49,2,Susan Sarandon,Dead Man Walking
2014,54,1,Julianne Moore,Still Alice
1967,60,1,Katherine Hepburn,Guess Who's Coming To Dinner
1985,61,1,Geraldine Page,Trip to Bountiful
2006,61,2,Helen Mirren,The Queen
1931,62,1,Marie Dressler,Min and Bill
2011,62,2,Meryl Streep,The Iron Lady
1981,74,1,Katherine Hepburn,On Golden Pond
1989,81,1,Jessica Tandy,Driving Miss Daisy