ID,Name,Age,Gender,Paycheck
2013_1,Robert Downey Jr,48,male,75
2013_2,Channing Tatum,33,male,60
2013_3,Hugh Jackman,45,male,55
2013_4,Mark Wahlberg,42,male,52
2013_5,Dwayne Johnson,41,male,46
2013_6,Leonardo Dicaprio,39,male,39
2013_7,Adam Sandler,47,male,37
2013_8,Tom Cruise,51,male,35
2013_9,Dencel Washington,58,male,33
2013_10,Angelina Jolie,38,female,33
2013_11,Liam Neeson,61,male,32
2013_12,Jennifer Lawrence,23,female,26
2013_13,Kristen Stewart,23,female,22
2013_14,Jennifer Aniston,44,female,20
2013_15,Emma Stone,25,female,16
2013_16,Charlize Theron,38,female,15
2013_17,Sandra Bullock,49,female,14
2013_18,Natalie Portman,32,female,14
2013_19,Mila Kunis,30,female,11
2013_20,Julia Roberts,45,female,11